longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-117.1,34.57,6,5110,1044,1938,724,3.1917,112800,INLAND
-116.9,34.52,20,3481,840,1694,587,1.4,77700,INLAND
-116.94,34.4,20,6541,1401,2631,980,2.1339,78500,INLAND
-117.18,32.76,52,2023,301,649,285,4.7396,441700,NEAR OCEAN
-117.18,32.75,52,1539,212,535,224,5.392,408500,NEAR OCEAN
-117.18,32.75,52,1504,208,518,196,8.603,459600,NEAR OCEAN
-117.19,32.75,52,1495,230,459,190,8.1548,500001,NEAR OCEAN
-117.19,32.75,52,1388,213,513,211,6.1309,411600,NEAR OCEAN
-117.19,32.76,52,1294,175,434,180,5.7914,500001,NEAR OCEAN
-117.17,32.76,45,3149,639,1160,661,2.7266,354200,NEAR OCEAN
-117.17,32.75,38,5430,1176,2357,1100,3.654,249000,NEAR OCEAN
-117.18,32.74,39,3132,738,1200,690,2.5288,274000,NEAR OCEAN
-117.18,32.75,36,2282,534,918,531,2.7222,284700,NEAR OCEAN
-117.17,32.75,52,1052,,381,201,3.0726,289600,NEAR OCEAN
-117.16,32.75,23,2474,594,1107,536,2.9705,245500,NEAR OCEAN
-117.16,32.75,49,1566,494,643,419,1.9637,137500,NEAR OCEAN
-117.16,32.74,52,852,262,389,249,2.6042,225000,NEAR OCEAN
-117.16,32.74,21,1882,486,903,482,3.06,243800,NEAR OCEAN
-117.16,32.74,27,2335,604,982,590,3.1921,261500,NEAR OCEAN
-117.17,32.75,28,1514,384,540,352,2.1532,240000,NEAR OCEAN
-117.16,32.75,19,5430,1593,2496,1484,2.9112,199100,NEAR OCEAN
-117.16,32.75,34,1785,558,804,490,2.2687,200000,NEAR OCEAN
-117.15,32.76,43,2361,489,824,470,3.4196,302200,NEAR OCEAN
-117.15,32.76,36,2644,674,1211,654,3.0445,214800,NEAR OCEAN
-117.15,32.76,40,1809,474,826,456,2.6518,179800,NEAR OCEAN
-117.15,32.76,37,1921,502,811,472,2.75,175000,NEAR OCEAN
-117.15,32.75,40,2261,579,903,525,2.465,198700,NEAR OCEAN
-117.15,32.75,9,2818,821,851,555,2.6181,204200,NEAR OCEAN
-117.15,32.75,27,3166,867,1332,817,2.6742,171400,NEAR OCEAN
-117.15,32.74,43,2383,607,962,587,2.2578,263600,NEAR OCEAN
-117.15,32.74,26,3149,832,1320,808,3.0259,211700,NEAR OCEAN
-117.14,32.75,35,1391,329,726,317,2.6818,159400,NEAR OCEAN
-117.14,32.74,47,1494,327,689,304,3.125,172700,NEAR OCEAN
-117.14,32.74,16,6075,1816,2592,1634,2.5553,178100,NEAR OCEAN
-117.14,32.75,29,1961,565,1002,569,2.2813,118100,NEAR OCEAN
-117.14,32.75,25,1908,513,956,467,2.4828,133300,NEAR OCEAN
-117.14,32.75,37,1832,525,955,488,2.7852,129200,NEAR OCEAN
-117.14,32.75,19,1358,613,766,630,1.0353,150000,NEAR OCEAN
-117.14,32.75,20,1182,379,678,326,2.1937,162500,NEAR OCEAN
-117.14,32.75,27,1551,464,880,400,2.4167,131300,NEAR OCEAN
-117.14,32.76,28,3025,756,1328,695,2.694,164100,NEAR OCEAN
-117.14,32.76,35,2539,661,1308,629,2.6777,146400,NEAR OCEAN
-117.14,32.76,32,2587,681,1246,650,2.1727,145500,NEAR OCEAN
-117.14,32.76,35,1785,493,965,506,2.0792,160000,NEAR OCEAN
